mes,año,latitud(º),longitud(º),profundidad_km,cluster_Kmeans,cluster_Kmedoids
9,2017,-11.8984,-76.3237,12.0,0,5
12,1986,-11.92,-76.6,27.0,0,5
1,1994,-12.62,-75.83,47.0,2,0
8,2016,-11.604,-76.9316,108.0,1,3
8,1993,-11.6,-76.78,114.0,1,1
4,2016,-11.7411,-77.0311,98.0,1,3
8,1990,-11.49,-77.06,10.0,0,5
12,1986,-12.7,-76.53,10.0,0,5
3,1997,-10.6578,-77.7463,56.0,2,0
8,1993,-11.91,-76.15,126.0,1,1
7,1978,-11.585,-76.477,94.0,3,4
4,1973,-10.897,-76.669,117.0,3,1
7,1955,-12.1,-76.8,90.0,3,2
7,1995,-10.53,-77.08,18.0,0,5
5,2002,-12.4582,-76.8055,69.0,2,4
9,1992,-12.34,-76.8,32.0,0,5
9,2017,-11.8994,-76.3331,10.0,0,5
1,1954,-12.0,-76.9,90.0,3,2
11,2012,-12.1316,-76.0255,110.0,1,1
1,1994,-12.29,-76.81,62.0,2,0
4,1995,-11.62,-77.14,65.0,2,4
12,2009,-12.1397,-76.9003,72.0,2,4
10,1996,-12.4918,-76.7602,54.0,2,0
6,1990,-12.74,-76.6,15.0,0,5
2,2011,-10.8919,-76.5993,126.0,1,1
7,2016,-11.3427,-76.8091,119.0,1,1
11,1989,-12.43,-76.78,50.0,2,0
9,1982,-12.04,-77.07,20.0,0,5
7,1989,-11.2,-77.5,59.0,2,0
9,1988,-12.52,-76.65,74.0,2,4
4,2021,-12.5326,-76.0711,19.0,0,5
11,1946,-12.87,-76.406,90.0,3,2
4,2002,-12.4907,-76.7682,59.0,2,0
1,2020,-10.7861,-77.7237,81.0,1,3
3,1983,-11.4,-77.3,35.0,0,5
1,1998,-12.9982,-76.4273,88.0,1,4
8,1948,-12.6,-76.5,80.0,3,2
5,1990,-12.92,-76.36,71.0,2,4
2,1968,-12.597,-76.592,68.0,3,0
1,2010,-12.782,-76.507,68.0,2,4
12,2018,-11.2137,-76.7438,126.0,1,1
7,2014,-10.3619,-76.8725,134.0,1,1
9,1993,-11.51,-76.83,138.0,1,1
5,2012,-12.0301,-76.409,100.0,1,3
5,1996,-12.5174,-76.8039,65.0,2,4
4,2017,-11.7065,-76.9194,97.0,1,3
10,2018,-10.9389,-77.1345,97.0,1,3
6,2003,-10.4781,-77.7182,34.0,0,5
3,1994,-11.78,-76.86,49.0,2,0
4,1993,-11.94,-77.09,63.0,2,0
7,1993,-10.55,-77.11,37.0,0,5
9,1997,-11.3264,-76.7995,114.0,1,1
6,2018,-12.5575,-76.0285,104.0,1,3
10,1994,-12.05,-76.61,124.0,1,1
11,2021,-11.6662,-76.6222,97.0,1,3
2,2021,-11.9773,-76.1177,124.0,1,1
3,1998,-11.724,-76.9512,71.0,2,4
7,2004,-12.4521,-76.6919,53.0,2,0
8,1995,-12.45,-76.74,46.0,2,0
12,1992,-12.52,-75.55,51.0,2,0
6,1990,-11.59,-76.95,42.0,0,0
8,1968,-11.05,-76.6,111.0,3,2
