"fecha_UTC","hora_UTC","latitud(º)","longitud(º)","profundidad_km","magnitud_mb","magnitud_Ms","magnitud_Mw"
"18/06/1945","07:00:00.00","-15.6","-74.8","60","4.3","",""
"20/06/1945","06:00:00.00","-15.6","-74.8","60","4.3","",""
"26/06/1945","05:00:00.00","-15.6","-74.8","60","4.3","",""
"07/07/1945","16:25:00.00","-16.5","-72.1","30","3.3","",""
"10/07/1945","01:02:00.00","-12","-77.8","50","4.3","",""
"13/07/1945","13:28:00.00","-16.5","-72.1","15","3.6","",""
"14/07/1945","21:30:00.00","-12","-77.8","40","4.3","",""
"18/07/1945","06:32:36.00","-16.608","-72.222","70","4.6","",""
"21/07/1945","08:30:00.00","-11.8","-77.6","40","4.6","",""
"23/07/1945","10:25:00.00","-17.9","-70.3","30","3.5","",""
"26/07/1945","14:20:00.00","-13","-76.2","80","4.7","",""
"04/08/1945","00:00:00.00","-5.85","-77","30","4.1","",""
"07/08/1945","10:30:00.00","-15.6","-74.8","90","4.2","",""
"07/08/1945","20:15:00.00","-13","-76.2","80","4.7","",""
"10/08/1945","04:23:00.00","-12.8","-77.4","90","5","",""
"10/08/1945","08:47:00.00","-17","-71.1","30","3.7","",""
"16/08/1945","18:15:00.00","-12","-77.8","40","4.3","",""
"19/08/1945","05:30:26.00","-11","-76","30","4.4","",""
"20/08/1945","06:00:00.00","-15.6","-74.8","90","4.7","",""
"21/08/1945","16:29:37.00","-11.565","-76.1","150","5.9","6.8",""
"30/08/1945","06:25:00.00","-8.6","-79.6","60","4.8","",""
"05/09/1945","08:25:00.00","-18.1","-70","30","3.7","",""
"09/09/1945","09:30:00.00","-14.5","-76","40","4.2","",""
"09/09/1945","12:56:20.00","-15.248","-76.281","40","","6.1",""
"13/09/1945","18:00:00.00","-9.6","-78.6","70","4.1","",""
"16/09/1945","15:56:00.00","-17","-71.2","30","3.8","",""
"21/09/1945","10:34:00.00","-12","-77.8","40","4.3","",""
"22/09/1945","13:10:00.00","-5.5","-80.9","50","4","",""
